Game,Score
2248,4
2249,1
2250,0
2251,9
2252,12
2253,2
2254,15
2255,0
2256,3
2257,5
2258,7
2259,8
2260,5
2261,1
2262,5
2263,4
2264,13
2265,4
2266,10
2267,11
2268,12
2269,17
2270,15
2271,9
2272,17
2273,9
2274,8
2275,18
2276,1
2277,12
2278,14
2279,13
2280,10
2281,10
2282,20
2283,4
2284,9
2285,3
2286,5
2287,9
2288,17
2289,6
2290,15
2291,26
2292,14
2293,15
2294,10
2295,4
2296,3
2297,16
2298,7
2299,19
2300,5
2301,6
2302,23
2303,20
2304,21
2305,9
2306,10
2307,9
2308,4
2309,14
2310,6
2311,7
2312,15
2313,9
2314,14
2315,25
2316,27
2317,19
2318,3
2319,12
2320,9
2321,21
2322,9
2323,1
2324,1
2325,16
2326,7
2327,6
2328,10
2329,12
2330,6
2331,4
2332,4
2333,5
2334,3
2335,6
2336,12
2337,4
2338,11
2339,12
2340,4
2341,3
2342,8
2343,6
2344,2
2345,12
2346,1
2347,5
2348,7
2349,7
2350,11
2351,7
2352,5
2353,18
2354,4
2355,7
2356,13
2357,16
2358,15
2359,18
2360,9
2361,13
2362,4
2363,4
2364,4
2365,10
2366,2
2367,8
2368,9
2369,19
2370,20
2371,6
2372,1
2373,7
2374,13
2375,13
2376,7
2377,22
2378,9
2379,3
2380,9
2381,18
2382,13
2383,5
2384,16
2385,12
2386,17
2387,7
2388,6
2389,8
2390,21
2391,1
2392,20
2393,8
2394,4
2395,12
2396,5
2397,2
2398,12
2399,19
2400,18
2401,19
2402,4
2403,15
2404,14
2405,4
2406,9
2407,4
2408,19
2409,7
2410,1
2411,5
2412,13
2413,9
2414,10
2415,8
2416,11
2417,12
2418,16
2419,21
2420,4
2421,27
2422,16
2423,18
2424,10
2425,0
2426,5
2427,9
2428,19
2429,14
2430,7
2431,4
2432,14
2433,4
2434,13
2435,24
2436,11
2437,16
2438,14
2439,4
2440,1
2441,2
2442,8
2443,2
2444,13
2445,15
2446,5
2447,1
2448,23
2449,18
2450,10
2451,28
2452,6
2453,10
2454,9
2455,14
2456,14
2457,19
2458,14
2459,16
2460,15
2461,4
2462,6
2463,10
2464,16
2465,12
2466,8
2467,24
2468,22
2469,4
2470,2
2471,1
2472,13
2473,12
2474,5
2475,8
2476,15
2477,9
2478,10
2479,1
2480,17
2481,11
2482,6
2483,7
2484,8
2485,12
2486,28
2487,13
2488,13
2489,9
2490,4
2491,1
2492,5
2493,9
2494,16
2495,9
2496,7
2497,0
2498,2
2499,14
2500,8
2501,8
2502,12
2503,14
2504,10
2505,15
2506,7
2507,4
2508,16
2509,23
2510,1
2511,11
2512,22
2513,18
2514,8
2515,8
2516,16
2517,12
2518,21
2519,5
2520,6
2521,12
2522,10
2523,8
2524,13
2525,12
2526,10
2527,19
2528,0
2529,16
2530,19
2531,2
2532,10
2533,4
2534,13
2535,12
2536,9
2537,12
2538,9
2539,10
2540,6
2541,29
2542,15
2543,14
2544,8
2545,11
2546,4
2547,14
2548,29
2549,9
2550,7
2551,14
2552,8
2553,13
2554,5
2555,17
2556,16
2557,3
2558,2
2559,6
2560,3
2561,28
2562,3
2563,8
2564,17
2565,4
2566,13
2567,9
2568,17
2569,8
2570,0
2571,7
2572,17
2573,3
2574,18
2575,3
2576,1
2577,5
2578,18
2579,24
2580,9
2581,7
2582,17
2583,14
2584,13
2585,4
2586,12
2587,5
2588,8
2589,1
2590,5
2591,10
2592,13
2593,4
2594,14
2595,3
2596,7
2597,12
2598,14
2599,15
2600,6
2601,12
2602,12
2603,14
2604,2
2605,16
2606,8
2607,3
2608,7
2609,10
2610,24
2611,4
2612,1
2613,14
2614,3
2615,10
2616,8
2617,16
2618,8
2619,21
2620,15
2621,20
2622,9
2623,7
2624,16
2625,11
2626,18
2627,9
2628,1
2629,12
2630,14
2631,3
2632,3
2633,20
2634,11
2635,6
2636,29
2637,17
2638,2
2639,1
2640,4
2641,6
2642,20
2643,23
2644,13
2645,20
2646,12
2647,5
2648,3
2649,13
2650,1
2651,10
2652,4
2653,10
2654,1
2655,3
2656,4
2657,6
2658,11
2659,10
2660,6
2661,3
2662,6
2663,23
2664,17
2665,11
2666,18
2667,1
2668,12
2669,15
2670,12
2671,7
2672,16
2673,11
2674,8
2675,9
2676,4
2677,16
2678,15
2679,15
2680,24
2681,12
2682,5
2683,11
2684,18
2685,5
2686,4
2687,8
2688,12
2689,16
2690,7
2691,5
2692,2
2693,13
2694,4
2695,11
2696,2
2697,10
2698,2
2699,8
2700,13
2701,30
2702,9
2703,4
2704,8
2705,1
2706,13
2707,2
2708,3
2709,8
2710,2
2711,6
2712,16
2713,6
2714,8
2715,11
2716,12
2717,14
2718,1
2719,12
2720,10
2721,25
2722,9
2723,4
2724,11
2725,8
2726,3
2727,8
2728,15
2729,4
2730,18
2731,12
2732,3
2733,19
2734,4
2735,13
2736,11
2737,10
2738,13
2739,11
2740,10
2741,6
2742,10
2743,9
2744,3
2745,8
2746,13
2747,17
2748,2
2749,16
2750,16
2751,4
2752,9
2753,4
2754,8
2755,26
2756,8
2757,5
2758,1
2759,14
2760,1
2761,3
2762,14
2763,17
2764,2
2765,14
2766,17
2767,12
2768,13
2769,5
2770,11
2771,4
2772,11
2773,4
2774,10
2775,12
2776,16
2777,16
2778,9
2779,5
2780,2
2781,7
2782,5
2783,8
2784,22
2785,12
2786,10
2787,11
2788,8
2789,6
2790,1
2791,1
2792,16
2793,11
2794,5
2795,20
2796,14
2797,7
2798,6
2799,7
2800,6
2801,27
2802,20
2803,16
2804,7
2805,2
2806,6
2807,3
2808,7
2809,19
2810,18
2811,15
2812,6
2813,13
2814,12
2815,16
2816,15
2817,4
2818,15
2819,16
2820,4
2821,10
2822,1
2823,11
2824,5
2825,5
2826,10
2827,10
2828,13
2829,3
2830,16
2831,11
2832,0
2833,1
2834,6
2835,11
2836,25
2837,2
2838,10
2839,3
2840,3
2841,6
2842,14
2843,13
2844,22
2845,6
2846,9
2847,5
2848,5
2849,11
2850,13
2851,12
2852,17
2853,7
2854,1
2855,4
2856,11
2857,10
2858,17
2859,16
2860,2
2861,12
2862,21
2863,7
2864,18
2865,17
2866,2
2867,11
2868,14
2869,11
2870,4
2871,4
2872,7
2873,10
2874,10
2875,27
2876,6
2877,20
2878,12
2879,7
2880,14
2881,2
2882,10
2883,6
2884,8
2885,5
2886,17
2887,3
2888,20
2889,0
2890,9
2891,20
2892,8
2893,4
2894,6
2895,6
2896,24
2897,22
2898,15
2899,18
2900,9
2901,1
2902,16
2903,3
2904,6
2905,11
2906,12
2907,21
2908,1
2909,11
2910,2
2911,12
2912,22
2913,21
2914,3
2915,1
2916,4
2917,4
2918,7
2919,0
2920,4
2921,1
2922,14
2923,18
2924,1
2925,13
2926,3
2927,5
2928,3
2929,6
2930,3
2931,19
2932,7
2933,22
2934,7
2935,17
2936,8
2937,21
2938,6
2939,14
2940,7
2941,15
2942,3
2943,5
2944,10
2945,9
2946,1
2947,8
2948,14
2949,10
2950,1
2951,14
2952,4
2953,10
2954,7
2955,13
2956,10
2957,1
2958,17
2959,29
2960,9
2961,22
2962,4
2963,3
2964,10
2965,0
2966,0
2967,0
2968,13
2969,4
2970,7
2971,21
2972,9
2973,7
2974,27
2975,3
2976,5
2977,26
2978,7
2979,8
2980,22
2981,7
2982,3
2983,13
2984,12
2985,5
2986,24
2987,24
2988,5
2989,27
2990,14
2991,8
2992,20
2993,10
2994,5
